Common name,Scientific name,Set,Color,Power text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg limit,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Beak direction,Swift Start,Automa ban,Flavor text,North America,Central America,South America,Europe,Asia,Africa,Oceania,Fan Art Pack?,Fan Art flavor text,Fan art beak direction,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Endangered Species Protector,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Small Clutch Specialist,Viticulturalist,Wetland Scientist,Wildlife Gardener
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.21,0.11,0.34,0.42,0.31,0.15,0.44,0.29,0.31,0.09,0.13,0.18,0.09,0.24,0.35,31%,0.16,35%,0.31,0.19,0.15,0.44,0.22,0.26,0.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22347949080622348,0.27015558698727016,0.055162659123055166,0.32531824611032534,0.44837340876944837,0.3451202263083451,0.16124469589816123,0.4087694483734088,0.2842998585572843,0.36916548797736914,0.09193776520509193,0.12588401697312587,0.15983026874115983,0.12305516265912306,0.25035360678925034,0.36633663366336633,0.33804809052333806,0.16548797736916548,0.3465346534653465,0.314002828854314,0.16124469589816123,0.1371994342291372,0.4908062234794908,0.2333804809052334,0.24328147100424327,0.3408769448373409
Abbott's Booby,Papasula abbotti,oceania,white,"Draw 3 bonus cards, then discard 2. You may discard bonus cards you did not draw this turn.",,,X,5.0,platform,1.0,190,,,X,,,2.0,,,,,,,2.0,L,,,"This large, endangered seabird lives only on Christmas Island.",,,,,,,X,X,Kasey cut this Abbott's Booby from construction paper and toilet paper.,R,,,X,,,,,,,,X,,X,,,X,,,,X,,,X,,X,
Acadian Flycatcher,Empidonax virescens,promoUS,brown,"Draw and discard 1 [card] from the deck. If it has [invertebrate] in its food cost, gain 1 [invertebrate] from the supply and cache 1 [invertebrate] from the supply on this bird.",,,,2.0,wild,2.0,23,X,,,2.0,,,,,,,,,2.0,L,,,The exceptionally maneuverable Acadian flycatcher can hover and even fly backward.,X,X,X,,,,,,,,,X,,,X,,,,,X,,,,X,X,,X,,X,X,,,X,,,X
Acorn Woodpecker,Melanerpes formicivorus,core,brown,"Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.",,,,5.0,cavity,4.0,46,X,,,,3.0,,,,,,,,3.0,R,,,"In a single dead tree, these birds may drill as many as 50,000 holes for storing acorns.",X,X,,,,,,X,"Using watercolor paint, Tiffany Michael illustrated this laughing, caching, woodpecker species.",R,,,,,,,,X,X,,,,,,X,,X,,,,,,,,,
Alpine Swift,Tachymarptis melba,promoEurope,white,"Place the action cube used to play this bird in the corresponding habitat, then take that habitat's action, including activation of “When Activated” (brown) powers.",,,,3.0,cavity,2.0,57,X,X,X,2.0,,,,,,,,,2.0,L,,,This large swift can fly continuously for more than 6 months.,,,,X,X,X,,,,,,X,,,X,X,,,,,,,,X,,,X,,,,,,X,,,
Altamira Oriole,Icterus gularis,americas,brown,Attract 1 hummingbird to another row.,,,,3.0,wild,3.0,37,X,X,X,1.0,,,1.0,,1.0,,,,3.0,R,,,This bird spends weeks weaving a bag nest that may hang 65 centimeters below the attached branch.,,X,X,,,,,,,,,X,,,X,X,,,X,X,,,,,,,X,,,X,,,,X,,X
Amazon Kingfisher,Chloroceryle amazona,americas,brown,"Reset the birdfeeder. Cache all [fish] from the birdfeeder on this bird, if available.",X,,,3.0,wild,3.0,51,,,X,1.0,,1.0,,,,,,,2.0,R,,,"These birds dive for fish and crustaceans, then take them back to their perch to eat them.",,X,X,,,,,,,,,X,,,X,,,,,X,,X,X,,,,X,,,X,,,,,X,X
Amazonian Parrotlet,Nannopsittaca dachilleae,americas,teal,Draw 2 [card] from the deck. You may tuck either or both of them behind this bird.,,X,,3.0,cavity,2.0,25,X,,X,,1.0,,1.0,,,,,,2.0,L,,,"This bird, first described by ornithologists in the 1970s, likes the seeds of bamboo.",,,X,,,,,,,,,X,,,X,X,X,X,,,,,,,,,X,,X,,,,X,X,,
American Avocet,Recurvirostra americana,core,pink,"When another player takes the “lay eggs” action, lay 1 [egg] on another bird with a [ground] nest.",,,,6.0,ground,2.0,79,,,X,2.0,1.0,,,,,,,,3.0,L,,,"American avocets build their own nests, but they also parasitize other birds' nests.",X,X,,,,,,X,Tom Little illustrated this using permanent marker and crayon.,L,,X,,,,,,X,X,X,,,,,,X,,,,,,,X,,X,
American Bittern,Botaurus lentiginosus,core,brown,Player(s) with the fewest birds in their [wetland] draw 1 [card].,,,,7.0,platform,2.0,107,,,X,1.0,,1.0,,1.0,,,,,3.0,R,,,"Bitterns hide in reeds and cattails, where they are well camouflaged.",X,X,,,,,,X,Watercolour by Carolyn J Herbert,R,,X,,,,,,,X,,,,X,,,X,,,,X,,X,X,,X,
American Cliff Swallow,Petrochelidon pyrrhonota,promoUS,yellow,Lay 1 [egg] on each bird in this bird’s row and column.,,,,1.0,wild,3.0,31,X,X,X,2.0,,,,,,,,,2.0,R,,,Female cliff swallows distribute some of their eggs among other nests in their large colonies.,X,X,X,,,,,,,,,X,,,X,X,,,,X,,,,X,,,X,,,X,,,,,,X
American Coot,Fulica americana,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].",,X,,3.0,platform,5.0,61,,,X,,1.0,,,,,1.0,,,2.0,R,,,"These omnivorous birds eat a lot of algae, but also seeds, fish, insects, and mollusks.",X,X,X,,,,,X,Illustration by Nils Cordes,LR,,X,,,X,,X,X,,,,,,,,,,X,,X,,,,,X,
American Crow,Corvus brachyrhynchos,core,brown,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,,,,4.0,platform,2.0,99,X,X,X,,,,,,,1.0,,,1.0,R,,,"These intelligent birds steal eggs and food from other birds, and cache food for later.",X,,,,,,,X,Digital Painting by Eric Streed,L,,X,,,,X,,,,,,,,,,X,,X,,X,,,X,,,
American Flamingo,Phoenicopterus ruber,americas,brown,"Tuck up to 2 [card] from your hand behind this bird. If you tuck at least 1, gain 1 [invertebrate] from the supply.",,X,,6.0,ground,1.0,153,,,X,2.0,1.0,,,,,,,,3.0,R,,,"Flamingoes live in salty lagoons, submerging their heads to strain invertebrates through their bills.",,X,X,,,,,,,,,X,,,,,X,X,X,X,,,,,,X,,,,,,,X,,X,
